,date,clicks_ads,conversions_ads,cost_micros_ads,engagements_ads,impressions_ads,interactions_ads,interaction_rate_ads,average_cpm_ads,ctr_ads,average_cpc_ads,conversions_value_ads,value_per_conversion_ads,engagement_rate_ads,average_cost_ads,cost_per_conversion_ads,average_cpe_ads,transactions_anal,transactionRevenue_anal,sessions_anal,impressions_anal,adClicks_anal,adCost_anal
98,2021-08-09,2756,86.36399999999999,22805.290000000023,109,35505,2858,0.0694014778325122,394427577.1502463,0.0609655172413792,2919636.447044335,6.147958128078819,1.3520197044334976,0.0122426108374384,2898495.7988916254,5991127.54679803,35820.015640394085,391,127155.5,21670,2863581,31353,71079.00000000001
99,2021-08-10,2793,73.179,19863.711000000018,134,37901,2917,0.0770668257756563,445694503.022673,0.0682816229116945,2625799.494033413,0.4555751789976133,0.8563305489260143,0.0159045346062052,2584292.698448688,7369370.961813843,20069.259785202863,386,118650.0,19152,6221388,54939,91029.64000000004
100,2021-08-11,2841,69.08,21952.94499999998,85,37961,2921,0.0704252733900365,382217542.56379104,0.0595419198055893,2899902.7120291614,2.897890643985419,1.1721300121506684,0.0137557715674362,2885111.54981774,6454333.317132442,21381.12332928311,428,159874.6,20504,3963699,42849,97619.02000000002
101,2021-08-12,2616,73.16199999999999,20073.498,5,28742,2620,0.0678527607361962,406943664.9815951,0.0650907975460122,2454375.382822086,1.408280981595092,1.7833092024539876,0.0033742331288343,2454520.780368098,6891697.943558282,267.04294478527606,346,115627.20000000004,27775,5894306,60102,105531.91000000006
102,2021-08-13,2663,60.0,18708.569,31,36883,2694,0.0714969623329283,392561695.3511543,0.0635261239368165,2674110.7995139733,0.0,0.0,0.0115771567436209,2669426.048602673,4022018.590522479,7620.625759416768,362,121364.3,27699,11077314,74804,102866.80000000008
103,2021-08-14,3271,59.923,19492.82899999999,56,87371,3323,0.067509505703422,398314078.63117874,0.0625551330798479,2611316.581749049,0.403871989860583,0.8898441064638783,0.0087275031685678,2612078.971863118,7280642.063371357,16426.693029150825,199,74855.4,28975,4508317,46327,72497.42000000001
104,2021-08-15,3441,48.489,20888.294,277,134258,3697,0.0590826140567201,353550927.5536375,0.0516794081381011,2533408.7916152896,0.2030998766954377,0.8139753390875463,0.0144414303329223,2505690.9667077684,9013324.372379778,44350.80061652281,206,60826.3,33041,8526063,76389,97179.20999999996
105,2021-08-16,5630,117.252,41125.04000000001,3037,238463,8507,0.0790426035502958,413051030.08047336,0.0684473372781065,2791003.1668639053,4.181383431952662,2.1548792899408284,0.0170887573964497,2430913.0887573967,17143688.222485207,68707.03786982248,463,149437.69,33708,7438268,70567,118530.28000000004
106,2021-08-17,6184,98.0,50221.92800000001,10738,298298,16311,0.0821850961538461,394579112.3557692,0.0719519230769231,3883478.360576923,0.0,0.0,0.0153846153846153,2591350.6915865387,17942384.89903846,111233.17716346154,406,117631.6,35078,4935459,56489,129346.34999999987
107,2021-08-18,5819,102.702,60167.305000000015,17403,300680,22252,0.0747677119628338,372245965.3751452,0.0654157955865272,4718794.713124274,0.6398734030197445,0.3760499419279907,0.0140882694541231,2574703.281068525,17768219.224157955,175961.4854819977,476,162041.83000000002,33092,4062004,47606,129982.51999999996
108,2021-08-19,5339,111.784,57788.50500000001,24462,295604,28660,0.0743285883748516,439344477.9905101,0.0628125741399763,4449227.752075919,0.3044187425860024,0.7914827995255042,0.0155646500593119,2499740.4887307235,20792549.59905101,113047.83274021352,416,136464.55,31763,3952564,46122,122156.38999999998
109,2021-08-20,5403,72.609,42893.181,8036,269029,12997,0.081349932705249,399164899.0067295,0.0718075370121131,3178005.7738896366,0.7251668909825033,0.8885895020188425,0.018207267833109,2308500.945222073,20680741.792732168,102992.10942126514,306,101393.9,31879,4922159,52692,97179.60999999996
110,2021-08-21,4765,63.647,39392.403000000006,5082,252225,9636,0.0808683544303797,369567718.7443038,0.0723405063291139,3465825.111392405,0.4540202531645569,0.7012645569620254,0.017959493670886,2517706.6620253166,17348303.86835443,100244.3635443038,143,40139.0,30865,8679275,73316,114123.49000000006
111,2021-08-22,4306,52.0,49914.04699999996,11477,275402,15247,0.0708002544529261,397336702.37150127,0.063382951653944,5169304.25826972,0.0,0.0,0.0171730279898218,3288416.664122137,15407726.432569977,150247.80788804073,176,56351.15000000001,31159,5695914,59099,107634.71000000002
112,2021-08-23,4759,90.0,53671.60899999998,15959,289869,19963,0.0817369640787948,579449436.9594438,0.0744704519119351,5799288.964078795,0.0,0.0,0.0110660486674391,3918746.383545771,14078779.39281576,142973.65701042872,453,165885.4,34423,8109038,73171,124534.29999999996
113,2021-08-24,6922,98.537,70406.18300000003,10910,356860,17265,0.0812573033707865,642261680.4404495,0.074470786516854,6104479.571910112,0.265414606741573,1.0952808988764045,0.0111404494382022,4869379.148314606,16358040.341573032,134338.79213483146,399,130246.9,39873,10120810,102030,207082.42999999985
