date,clicks,conversions,cost_micros,engagements,impressions,interactions,interaction_rate,average_cpm,ctr,average_cpc,conversions_value,value_per_conversion,engagement_rate,average_cost,cost_per_conversion,average_cpe
2021-04-09,3225,23.0,19574.20999999999,9066,139223,11643,0.14854140127388538,646962750.0382166,0.12159872611464974,7603568.484076433,0.0,0.0,0.047560509554140123,3165882.6496815286,24307331.414012738,277203.8789808917
2021-04-10,1487,21.0,6045.109000000002,1676,35660,3004,0.1392582781456954,679526502.6092715,0.11299337748344367,4006167.4834437086,0.0,0.0,0.05087417218543048,3380487.571523179,8908331.668874172,90073.41258278146
2021-04-11,2058,14.0,8383.930999999993,998,75571,2960,0.12173885350318474,728830743.1719745,0.09808280254777071,4588600.96178344,0.0,0.0,0.05729936305732483,4240341.161783439,12407478.191082802,67759.81783439491
2021-04-12,4731,42.0,31022.768999999993,1847,60046,6436,0.16302453987730073,999550863.3006135,0.1326319018404908,5448181.478527607,0.0,0.0,0.053503067484662575,5031678.677300613,41325965.3006135,63907.497546012266
2021-04-13,6074,40.0,39016.69099999998,1714,84027,7593,0.13189156626506016,830611641.4939759,0.10683734939759029,5497906.397590362,0.0,0.0,0.047975903614457846,5197152.246385542,62353710.28915662,68225.79457831326
2021-04-14,4369,34.0,32620.309000000005,2950,71594,7063,0.1377168674698795,992810208.2771084,0.10512650602409639,7388702.180722891,0.0,0.0,0.05830722891566265,6982191.603012048,56579670.144578315,65681.27168674699
2021-04-15,4130,44.0,27805.549999999985,3898,89982,7675,0.10835151515151517,896655001.3090909,0.08539393939393938,8053852.824242424,0.0,0.0,0.05011515151515151,7586155.124242424,47424285.74545454,67261.11393939394
2021-04-16,2942,26.0,24572.831,2973,64333,5697,0.12183233532934132,1104521376.2155688,0.08837724550898199,8734997.646706587,0.0,0.0,0.062065868263473066,8185330.288622755,23630922.2754491,63826.282634730545
2021-04-17,1352,12.0,4732.134,933,59476,2200,0.1605592105263158,677159882.5,0.13511842105263153,3192109.236842105,0.0,0.0,0.05938815789473682,2905239.675,6823597.2105263155,79480.76578947369
2021-04-18,1298,12.0,4624.273999999998,368,46715,1637,0.16029729729729736,535713598.6554054,0.13447297297297298,2549942.5675675673,0.0,0.0,0.07010135135135136,2333697.746621622,16667840.027027028,61863.947297297294
2021-04-19,2205,25.0,9938.643000000002,661,64048,2788,0.16698159509202445,652444811.0858896,0.14294478527607357,3369787.969325153,0.0,0.0,0.05119631901840492,3106269.3650306747,14835447.705521472,58787.091411042944
2021-04-20,1772,39.0,5922.815999999997,427,44570,2157,0.17565868263473047,674948367.005988,0.14387425149700597,3019452.0598802394,0.0,0.0,0.06036526946107783,2793299.350299401,7672589.820359281,67211.75628742516
2021-04-21,1628,35.0,5224.594999999998,941,36585,2486,0.17539520958083832,598028076.1916168,0.14914371257485035,2701447.9640718563,0.0,0.0,0.042431137724550906,2333740.2323353295,10059674.34730539,82013.08263473054
2021-04-22,1500,30.0,4388.752999999999,1029,31005,2435,0.17622485207100588,703090503.928994,0.1502189349112426,2906764.8934911243,0.0,0.0,0.04620118343195266,2467232.1396449707,3996027.680473373,76510.91065088757
2021-04-23,1365,33.0,3946.283,865,28955,2152,0.15491304347826082,522954809.16770184,0.1259440993788819,2621853.136645963,0.0,0.0,0.04878881987577639,2208100.5093167704,8521705.639751554,74662.47950310558
2021-04-24,1173,17.0,2779.734999999999,627,43639,1754,0.15168387096774194,379013513.88387096,0.11509032258064511,1983508.341935484,0.0,0.0,0.0639225806451613,1642728.9612903225,5475796.232258065,91995.56
2021-04-25,763,11.0,2403.373999999999,935,17059,1633,0.1765238095238095,729913167.1156462,0.1415918367346939,2598421.4149659863,0.0,0.0,0.05906122448979591,1990397.800680272,5897712.816326531,89188.5394557823
